Monarda fistulosa 'Claire Grace'
Monarda punctata
Monarda x 'Judith's Fancy Fuchsia'
Monarda x 'Raspberry Wine'
Muhlenbergia capillaris
Nassella tenuissima
Nepeta racemosa 'Walker's Low'
Nepeta subsessilis
Oenothera fruiticosa 'Fireworks'
Oenothera fruticosa
Origanum laevigatum 'Herrenhausen'
Panicum virgatum
Panicum virgatum 'Cape Breeze'
Panicum virgatum 'Cloud Nine'
Panicum virgatum 'Heavy Metal'
Panicum virgatum 'North Wind'
Panicum virgatum 'Prairie Sky'
Panicum virgatum 'Shenandoah'
Parthenium integrifolium
Patrinia scabiosifolia
Pennisetum alopecuroides
Pennisetum alopecuroides 'Cassian'
Pennisetum alopecuroides 'Hameln'
Penstemon calycosus
Penstemon digitalis
Penstemon digitalis 'Husker Red'
Penstemon digitalis 'Pocahontas'
Penstemon hirsutus
Penstemon smallii
Perovskia atriplicifolia
Phlox divaricata
Phlox divaricata 'Blue Moon'
Phlox divaricata 'May Breeze'
Phlox glaberrima 'Morris Berd'
Phlox maculata
Phlox paniculata
Phlox paniculata 'David'
Phlox paniculata 'Jeana'
Phlox paniculata 'Robert Poore'
Phlox stolonifera
Phlox stolonifera 'Blue Ridge'
Phlox stolonifera 'Bruce's White'
Phlox stolonifera 'Sherwood Purple'
Phlox subulata
Phlox subulata 'Emerald Blue'
Phlox subulata 'Emerald Pink'
Physostegia virginiana
Physostegia virginiana 'Vivid'
Polemonium reptans
Pycnanthemum flexuosum
Pycnanthemum incanum
Pycnanthemum muticum
Pycnanthemum tenuifolium
Pycnanthemum virginianum
Ratibida pinnata
Rudbeckia fulgida 'Goldsturm'
Rudbeckia fulgida v. deamii
Rudbeckia fulgida v. deamii 'American Gold Rush PP#28498'
Rudbeckia fulgida v. fulgida
Rudbeckia grandiflora 'Sundance'
Rudbeckia hirta
Rudbeckia laciniata
Rudbeckia laciniata 'Autumn Sun'
Rudbeckia maxima
Rudbeckia subtomentosa
Rudbeckia triloba
Ruellia humilis
Salvia lyrata 'Purple Knockout'
Salvia nemorosa 'Caradonna'
Salvia nemorosa 'East Freisland'
Salvia nemorosa 'Wesuwe'
Salvia x sylvestris 'Blue Hill'
Salvia x sylvestris 'May Night'
Salvia x sylvestris 'Snow Hill'
Sanguisorba officinalis
Schizachyrium scoparium
Schizachyrium scoparium 'Jazz'
Schizachyrium scoparium 'Standing Ovation PP 25202'
Schizachyrium scoparium 'The Blues'
Scirpus atrovirens
Scirpus cyperinus
Scirpus validus (tabernaemontani)
Scutellaria incana
Sedum cauticola 'Lidakense'
Sedum sieboldii
Sedum spectabile 'Autumn Joy'
Sedum ternatum
Senecio aureus
Sesleria autumnalis
Sesleria x 'Greenlee Hybrid'
Silene caroliniana
Silene virginica
Silphium laciniatum
Silphium perfoliatum
Silphium terebinthinaceum
Sisyrinchium angustifolium 'Lucerne'
Sisyrinchium angustifolium 'Suwannee'
Solidago bicolor
Solidago caesia
Solidago flexicaulis
Solidago graminifolia
Solidago nemoralis
Solidago rigida
Solidago rigida ssp. humilis 'Golden Rockets'
Solidago rugosa 'Fireworks'
Solidago speciosa
Sorghastrum nutans
Sporobolus airoides
Sporobolus heterolepis
Stachys officinalis
Stachys officinalis 'Hummello'
Stachys x 'Summer Crush'
Teucrium chamaedrys
Thalictrum rochebrunianim
Thermopsis villosa
Tiarella 'New Moon Motley'
Tiarella cordifolia
Tiarella cordifolia wherryi
Tradescantia ohiensis
Tradescantia ohiensis 'Mrs. Loewer'
Tradescantia virginiana
Verbena bonariensis
Verbena hastata
Vernonia glauca
Vernonia lettermannii 'Iron Butterfly'
Vernonia noveborecensis
Veronicastrum virginicum
Viola sororia
Viola striata
Waldsteinia fragarioides
Zizia aptera
Zizia aureus
